study_id,pass_1_primary_tier,pass_2_primary_tier,consensus_primary_tier,match_primary_tier,pass_1_T1,pass_2_T1,consensus_T1,match_T1,pass_1_T2,pass_2_T2,consensus_T2,match_T2,pass_1_T3,pass_2_T3,consensus_T3,match_T3,pass_1_T4,pass_2_T4,consensus_T4,match_T4,disagreement_count,all_five_match
S001,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0
S002,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S003,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S004,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0
S005,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
S006,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1
S007,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S008,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,2,0
S009,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S010,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1
S011,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1
S012,CORE,ANCHORED,CORE,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,3,0
S013,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S014,ANCHORED,WEAKER,WEAKER,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0
S015,ANCHORED,CORE,CORE,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
S016,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0
S017,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S018,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
S019,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S020,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S021,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S022,ANCHORED,CORE,CORE,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,3,0
S023,INTERFACE,ANCHORED,INTERFACE,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
S024,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S025,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0
S026,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S027,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
S028,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
S029,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0
S030,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S031,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1
S032,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S033,CORE,ANCHORED,ANCHORED,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
S034,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S035,ANCHORED,CORE,ANCHORED,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,2,0
S036,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S037,CORE,ANCHORED,CORE,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,4,0
S038,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S039,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S040,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S041,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,2,0
S042,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
S043,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S044,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S045,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S046,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S047,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0
S048,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S049,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0
S050,CONSTRUCTION,ANCHORED,CONSTRUCTION,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
S051,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S052,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S053,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S055,CORE,CONSTRUCTION,CONSTRUCTION,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
S056,ANCHORED,CORE,CORE,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
S057,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,2,0
S058,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S059,CORE,CONSTRUCTION,CONSTRUCTION,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
S060,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
S061,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S062,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
S063,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S064,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S065,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S066,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S067,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S068,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S069,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S070,CORE,ANCHORED,ANCHORED,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0
S071,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
S072,CORE,CONSTRUCTION,CONSTRUCTION,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0
S073,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S074,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S075,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
S076,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
S077,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S078,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1
S079,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
S080,ANCHORED,CORE,CORE,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,2,0
S081,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S082,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0
S083,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
S084,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0
S085,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S086,CORE,CONSTRUCTION,CORE,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,3,0
S087,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
S088,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1
S089,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
S090,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S091,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1
