pass_1_tier,pass_2_tier,n
CORE,CORE,48
CORE,ANCHORED,4
CORE,CONSTRUCTION,4
CORE,WEAKER,0
CORE,INTERFACE,0
ANCHORED,CORE,6
ANCHORED,ANCHORED,13
ANCHORED,CONSTRUCTION,0
ANCHORED,WEAKER,1
ANCHORED,INTERFACE,0
CONSTRUCTION,CORE,0
CONSTRUCTION,ANCHORED,1
CONSTRUCTION,CONSTRUCTION,21
CONSTRUCTION,WEAKER,0
CONSTRUCTION,INTERFACE,0
WEAKER,CORE,0
WEAKER,ANCHORED,0
WEAKER,CONSTRUCTION,0
WEAKER,WEAKER,1
WEAKER,INTERFACE,0
INTERFACE,CORE,0
INTERFACE,ANCHORED,1
INTERFACE,CONSTRUCTION,0
INTERFACE,WEAKER,0
INTERFACE,INTERFACE,12
